filename,artist,bpm,key,camelot,energy,genres,format,path
SERGIK - Hotstepper Remix.wav,Unknown Artist,99.4,D minor,7A,5,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Hotstepper Remix.wav
SERGIK - Mind n Body.wav,Unknown Artist,86.1,D major,10B,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Mind n Body.wav
SERGIK x Sean Hart Ft. Chris Powell - American LOVE V2.mp3,Unknown Artist,123.0,D major,10B,6,,mp3,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Sean Hart Ft. Chris Powell - American LOVE V2.mp3
SERGIK x NOBOUNDS - Alleyways.wav,Unknown Artist,123.0,A minor,8A,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x NOBOUNDS - Alleyways.wav
SERGIK x Aloe Flipz - Betta Daze 88bpm.wav,Unknown Artist,89.1,D minor,7A,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Aloe Flipz - Betta Daze 88bpm.wav
SERGIK - Going Fast.wav,Unknown Artist,86.1,D major,10B,7,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Going Fast.wav
SERGIK - Hi n Lo.wav,Unknown Artist,86.1,D# major,5B,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Hi n Lo.wav
SERGIK - Going Fast2.wav,Unknown Artist,86.1,D major,10B,7,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Going Fast2.wav
SERGIK x CHKLZ - To Da Flow.wav,Unknown Artist,129.2,A major,11B,7,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x CHKLZ - To Da Flow.wav
SERGIK ft. Residuo - Gottalotta.1.wav,Unknown Artist,123.0,D major,10B,7,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK ft. Residuo - Gottalotta.1.wav
SERGIK - Must Be.wav,Unknown Artist,86.1,D major,10B,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Must Be.wav
Sergik x Skeezy - Gangsta.wav,Unknown Artist,129.2,D major,10B,6,,wav,/Users/machd/Music/Music 1/Media.localized/Music/Unknown Artist/Unknown Album/Sergik x Skeezy - Gangsta.wav
