project_path,project_name,parent_folder,created_time,modified_time,size_bytes,contains_sergik
/Users/machd/Desktop/Random Music Stuff/SERGIK x OG Coconut - Do It Project/Backup/SERGIK x OG Coconut - Do It [2024-06-11 040942].als,SERGIK x OG Coconut - Do It [2024-06-11 040942],Backup,2024-06-11T02:31:13.540695,2024-06-11T02:31:14.237441,1600449,True
/Users/machd/Desktop/Random Music Stuff/SERGIK x OG Coconut - Do It Project/Backup/SERGIK x OG Coconut - Do It [2024-06-11 042807].als,SERGIK x OG Coconut - Do It [2024-06-11 042807],Backup,2024-06-11T04:09:42.091137,2024-06-11T04:09:42.788109,1602242,True
/Users/machd/Desktop/Ableton Crash Report 2025-06-14 021753 Live 12.1.11/Preferences/BaseFiles/SERGIK Template V2.als,SERGIK Template V2,BaseFiles,2022-11-30T20:50:34,2022-11-30T20:50:34,189841,True
/Users/machd/Desktop/Ableton Crash Report 2025-06-14 021753 Live 12.1.11/Preferences/BaseFiles/SERGIK - Dandy.als,SERGIK - Dandy,BaseFiles,2022-11-30T20:50:34,2022-11-30T20:50:34,3459684,True
/Users/machd/Desktop/untitled folder 2/NEW DISCO.als,NEW DISCO,untitled folder 2,2025-07-18T00:12:50.880287,2025-07-18T00:12:50.880571,25801,False
/Users/machd/Desktop/untitled folder 2/Backup/NEW DISCO [2025-07-17 232324].als,NEW DISCO [2025-07-17 232324],Backup,1980-01-01T00:00:00,1980-01-01T00:00:00,25775,False
/Users/machd/Desktop/untitled folder 2/Backup/NEW DISCO [2025-07-17 232140].als,NEW DISCO [2025-07-17 232140],Backup,1980-01-01T00:00:00,1980-01-01T00:00:00,25743,False
/Users/machd/Desktop/SLAPSTICK Project/SLAPSTICK 1.als,SLAPSTICK 1,SLAPSTICK Project,2025-06-28T03:51:48.159199,2025-06-28T03:51:48.434199,766715,False
/Users/machd/Desktop/SLAPSTICK Project/SLAPSTICK.als,SLAPSTICK,SLAPSTICK Project,2025-06-27T01:29:36.090000,2025-06-01T04:41:06,762788,False
/Users/machd/Desktop/SLAPSTICK Project/Backup/SLAPSTICK [2025-06-01 044103].als,SLAPSTICK [2025-06-01 044103],Backup,2025-06-27T01:29:36.440000,2025-05-31T01:17:14,762788,False
/Users/machd/Desktop/SLAPSTICK Project/Backup/SLAPSTICK [2025-05-31 011710].als,SLAPSTICK [2025-05-31 011710],Backup,2025-06-27T01:29:36.360000,2025-05-31T01:17:04,763355,False
/Users/machd/Desktop/FEATHER ON THE FLY WHEEL/FEATHER FLY WHEEL Project/FEATHER FLY WHEEL.als,FEATHER FLY WHEEL,FEATHER FLY WHEEL Project,2025-06-27T23:33:30.560000,2025-06-27T23:33:30.980000,236315,False
/Users/machd/Desktop/FEATHER ON THE FLY WHEEL/FEATHER FLY WHEEL Project/FEATHER FLY WHEEL (SERGIKFIED).als,FEATHER FLY WHEEL (SERGIKFIED),FEATHER FLY WHEEL Project,2025-06-28T03:22:10.035394,2025-06-28T03:22:10.196604,288240,True
/Users/machd/Desktop/FEATHER ON THE FLY WHEEL/FEATHER FLY WHEEL Project/Backup/FEATHER FLY WHEEL [2025-06-27 233330].als,FEATHER FLY WHEEL [2025-06-27 233330],Backup,2025-06-27T23:25:43.950000,2025-06-27T23:25:44.350000,237561,False
/Users/machd/Desktop/FEATHER ON THE FLY WHEEL/FEATHER FLY WHEEL Project/Backup/FEATHER FLY WHEEL [2025-06-15 002243].als,FEATHER FLY WHEEL [2025-06-15 002243],Backup,2025-06-14T23:50:55.590000,2025-06-14T23:50:58.780000,230776,False
/Users/machd/Desktop/FEATHER ON THE FLY WHEEL/FEATHER FLY WHEEL Project/Backup/FEATHER FLY WHEEL [2025-06-15 020220].als,FEATHER FLY WHEEL [2025-06-15 020220],Backup,2025-06-15T00:22:43.920000,2025-06-15T00:22:45.180000,236733,False
