filename,artist_folder,bpm,key,duration_sec,sample_rate,bit_depth,channels,file_size_mb,format,path
Sergik - Freaky Up In Here.wav,Unknown Artist,,,225.62,44100,0,2,37.96,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Sergik - Freaky Up In Here.wav
SERGIK - In The Streets - (Funkshway SRGFLp) 1.wav,Unknown Artist,,,304.7,44100,24,2,76.89,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - In The Streets - (Funkshway SRGFLp) 1.wav
SERGIK -Crowd Control (Amerika SRGFLiP).wav,Unknown Artist,,,201.29,44100,24,2,50.79,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK -Crowd Control (Amerika SRGFLiP).wav
SERGIK - Have To Do It.wav,Unknown Artist,,,326.4,44100,24,2,82.36,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Have To Do It.wav
SERGIK - What Is What 3.wav,Unknown Artist,,,303.88,44100,24,2,76.68,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - What Is What 3.wav
Trip Hop 4.mp3,Unknown Artist,,,153.57,44100,0,2,6.0,mp3,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Trip Hop 4.mp3
How I Work [vocals].mp3,Unknown Artist,,,170.66,44100,0,2,5.87,mp3,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/How I Work [vocals].mp3
SERGIK - How Ya.wav,Unknown Artist,,,217.14,44100,24,2,54.79,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - How Ya.wav
Sergik x DJ Dalle - Its Your turn.wav,Unknown Artist,,,261.96,44100,0,2,44.07,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Sergik x DJ Dalle - Its Your turn.wav
RIdin.wav,Unknown Artist,,,121.77,44100,24,2,30.73,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/RIdin.wav
Dunes of Dawn & Dilon Karim - Paranoia (UNR).mp3,Unknown Artist,,,415.66,44100,0,2,15.86,mp3,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Dunes of Dawn & Dilon Karim - Paranoia (UNR).mp3
SERGIK - Kouch Potato.wav,Unknown Artist,,,30.97,44100,24,2,7.81,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Kouch Potato.wav
SERGIK x Javi - Smoke Break at Da Crib.wav,Unknown Artist,,,192.0,44100,24,2,48.45,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Javi - Smoke Break at Da Crib.wav
Andino x Sergik - Tradicion master.wav,Unknown Artist,,,266.67,44100,24,2,67.29,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Andino x Sergik - Tradicion master.wav
