filename,artist,bpm,key,camelot,energy,phrases,duration_sec,sample_rate,bit_depth,channels,file_size_mb,format,path
SERGIK - Inspire.wav,Music,92.3,D major,10B,6,Intro -> Chorus -> Drop,195.43,44100,24,2,49.31,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Inspire.wav
OG Coconut - Vivid (SERGIK Master).wav,Music,123.0,A minor,8A,5,Drop,160.0,44100,24,2,40.37,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/OG Coconut - Vivid (SERGIK Master).wav
Silent Jay x Sergik - Move Me.wav,Music,86.1,D major,10B,9,Intro -> Drop -> Chorus,326.4,44100,24,2,82.36,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Silent Jay x Sergik - Move Me.wav
SERGIK - Nothing to it.wav,Music,123.0,D major,10B,6,Intro -> Chorus -> Drop,247.62,44100,24,2,62.48,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Nothing to it.wav
Lodin - A Letter From Home (Unreleased).mp3,Music,129.2,D major,10B,6,Drop,400.01,44100,0,2,15.26,mp3,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Lodin - A Letter From Home (Unreleased).mp3
DINO x SERGIK - MINIMAL.wav,Music,129.2,F major,7B,7,Drop -> Outro,247.5,44100,0,2,41.64,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/DINO x SERGIK - MINIMAL.wav
remember_the_times.wav,Music,103.4,D major,10B,6,Chorus -> Drop,161.03,44100,0,2,27.09,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/remember_the_times.wav
SERGIK  - Betta.wav,Music,123.0,G major,9B,7,Chorus -> Drop,263.04,44100,24,2,66.38,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK  - Betta.wav
you can fw us cd-6 edit.aif,Music,129.2,D major,10B,7,Drop,289.52,44100,32,2,97.41,aif,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/you can fw us cd-6 edit.aif
SERGIK - Creature Hrs.wav,Music,86.1,A major,11B,6,Drop,232.32,48000,24,2,63.81,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Creature Hrs.wav
SERGIK - In The Streets.wav,Music,86.1,B minor,10A,6,Intro -> Drop,276.48,44100,24,2,69.77,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - In The Streets.wav
SERGIK x Silent Jay - Like That.wav,Music,86.1,A major,11B,7,Drop,284.16,44100,24,2,71.71,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Silent Jay - Like That.wav
Told Me (0).wav,Music,78.3,E minor,9A,4,Intro -> Drop,109.37,44100,0,2,18.4,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Told Me (0).wav
SERGIK - tell her v2.wav,Music,117.5,A minor,8A,7,Chorus -> Drop,280.68,44100,24,2,70.83,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - tell her v2.wav
Waavy.wav,Music,117.5,A major,11B,6,Drop -> Outro,97.63,44100,0,2,16.42,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Waavy.wav
SERGIK x Konbot x Lavender - Moon Freakin.wav,Music,123.0,D major,10B,6,Intro -> Verse -> Drop,220.65,44100,24,2,55.68,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Konbot x Lavender - Moon Freakin.wav
Hip Hop 6.mp3,Music,152.0,D minor,7A,5,Drop,296.05,44100,0,2,11.29,mp3,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Hip Hop 6.mp3
BENNY THE BUTCHER x 38 SPESH x JADAKISS Type Beat - Revenge.mp3,Music,123.0,F# minor,11A,6,Intro -> Chorus -> Drop,167.34,44100,0,2,3.83,mp3,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/BENNY THE BUTCHER x 38 SPESH x JADAKISS Type Beat - Revenge.mp3
SERGIK - Head Up.wav,Music,86.1,D major,10B,7,Intro -> Verse -> Drop,153.6,48000,24,2,42.19,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Head Up.wav
SERGIK x Breauxxx - Pumpin.wav,Music,129.2,D major,10B,7,Drop,243.75,44100,24,2,61.51,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK x Breauxxx - Pumpin.wav
SERGIK - Back Around.wav,Music,86.1,D major,10B,7,Chorus -> Drop,234.24,48000,24,2,64.34,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Back Around.wav
SERGIK - Give Back Ft. Cy Heck.wav,Music,86.1,A major,11B,6,Drop,262.86,44100,24,2,66.33,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Give Back Ft. Cy Heck.wav
gaslamp district mv1.aif,Music,92.3,A# minor,3A,6,Intro -> Chorus -> Drop,182.19,44100,24,2,45.97,aif,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/gaslamp district mv1.aif
SERGIK - Dubonaut.wav,Music,129.2,A major,11B,5,Drop,265.45,44100,24,2,66.99,wav,/Users/machd/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/SERGIK - Dubonaut.wav
